GEOIDfake,GEOID,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,TRACTCE,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,White Population Alone,Black Population Alone, Asian Population Alone,American Indian Population,Other Race Population,SE_T006_006,SE_T006_007,SE_T006_008,SE_T006_009,SE_T006_010,SE_T006_011,SE_T006_012
"371830501001","371830501001","371830501001, 37183050100, Wake County, North Carolina","00","37","183","050100","1",,,,1016,225,39,1,20,99,1064,241,43,1,22,91
"371830501002","371830501002","371830501002, 37183050100, Wake County, North Carolina","00","37","183","050100","2",,,,1444,442,111,4,45,138,1497,469,121,4,49,126
"371830501003","371830501003","371830501003, 37183050100, Wake County, North Carolina","00","37","183","050100","3",,,,1448,156,89,2,21,142,1516,167,98,2,22,131
"371830503001","371830503001","371830503001, 37183050300, Wake County, North Carolina","00","37","183","050300","1",,,,1400,66,18,5,24,107,1474,71,20,5,27,100
"371830503002","371830503002","371830503002, 37183050300, Wake County, North Carolina","00","37","183","050300","2",,,,542,215,50,5,10,37,565,228,55,5,11,35
"371830503003","371830503003","371830503003, 37183050300, Wake County, North Carolina","00","37","183","050300","3",,,,783,111,40,2,26,57,819,120,44,2,29,52
"371830504001","371830504001","371830504001, 37183050400, Wake County, North Carolina","00","37","183","050400","1",,,,875,71,19,0,6,74,920,76,20,0,6,69
"371830504002","371830504002","371830504002, 37183050400, Wake County, North Carolina","00","37","183","050400","2",,,,293,224,8,0,14,65,304,239,9,0,16,60
"371830505001","371830505001","371830505001, 37183050500, Wake County, North Carolina","00","37","183","050500","1",,,,1222,72,21,0,35,95,1288,77,22,0,38,88
"371830505002","371830505002","371830505002, 37183050500, Wake County, North Carolina","00","37","183","050500","2",,,,997,664,14,4,31,88,1040,709,16,4,33,81
"371830505003","371830505003","371830505003, 37183050500, Wake County, North Carolina","00","37","183","050500","3",,,,491,93,11,1,93,52,512,99,13,1,101,48
"371830506001","371830506001","371830506001, 37183050600, Wake County, North Carolina","00","37","183","050600","1",,,,443,907,27,3,40,59,446,933,28,3,42,52
"371830506002","371830506002","371830506002, 37183050600, Wake County, North Carolina","00","37","183","050600","2",,,,254,528,5,6,54,57,264,559,5,6,59,51
"371830506003","371830506003","371830506003, 37183050600, Wake County, North Carolina","00","37","183","050600","3",,,,848,224,16,0,14,56,886,240,17,0,16,50
"371830507001","371830507001","371830507001, 37183050700, Wake County, North Carolina","00","37","183","050700","1",,,,469,585,20,2,10,72,489,622,21,2,12,66
"371830507002","371830507002","371830507002, 37183050700, Wake County, North Carolina","00","37","183","050700","2",,,,224,320,17,1,23,22,233,341,19,1,25,20
"371830507003","371830507003","371830507003, 37183050700, Wake County, North Carolina","00","37","183","050700","3",,,,288,917,12,7,71,77,298,971,13,7,78,70
"371830508001","371830508001","371830508001, 37183050800, Wake County, North Carolina","00","37","183","050800","1",,,,171,538,6,10,86,37,177,566,6,11,93,34
"371830508002","371830508002","371830508002, 37183050800, Wake County, North Carolina","00","37","183","050800","2",,,,151,516,4,10,125,67,156,544,4,11,136,61
"371830508003","371830508003","371830508003, 37183050800, Wake County, North Carolina","00","37","183","050800","3",,,,1276,927,11,42,77,67,1272,947,12,44,82,59
"371830509001","371830509001","371830509001, 37183050900, Wake County, North Carolina","00","37","183","050900","1",,,,404,672,26,2,39,55,411,699,28,2,42,49
"371830509002","371830509002","371830509002, 37183050900, Wake County, North Carolina","00","37","183","050900","2",,,,230,463,22,11,75,66,238,491,23,12,82,60
"371830509003","371830509003","371830509003, 37183050900, Wake County, North Carolina","00","37","183","050900","3",,,,151,375,2,8,59,37,157,396,2,9,64,34
"371830510001","371830510001","371830510001, 37183051000, Wake County, North Carolina","00","37","183","051000","1",,,,1380,197,57,20,80,142,1448,211,64,21,89,130
"371830510002","371830510002","371830510002, 37183051000, Wake County, North Carolina","00","37","183","051000","2",,,,780,110,10,1,26,84,816,119,11,1,28,77
"371830511011","371830511011","371830511011, 37183051101, Wake County, North Carolina","00","37","183","051101","1",,,,1519,206,162,7,34,203,1530,211,173,7,35,179
"371830511012","371830511012","371830511012, 37183051101, Wake County, North Carolina","00","37","183","051101","2",,,,890,540,267,20,116,175,921,571,292,22,126,159
"371830511021","371830511021","371830511021, 37183051102, Wake County, North Carolina","00","37","183","051102","1",,,,249,29,38,5,0,31,251,29,40,5,0,27
"371830511022","371830511022","371830511022, 37183051102, Wake County, North Carolina","00","37","183","051102","2",,,,1905,147,283,11,50,219,1902,150,297,12,53,192
"371830511023","371830511023","371830511023, 37183051102, Wake County, North Carolina","00","37","183","051102","3",,,,407,474,1,23,51,28,406,482,1,24,54,25
"371830512001","371830512001","371830512001, 37183051200, Wake County, North Carolina","00","37","183","051200","1",,,,1163,32,49,0,8,98,1222,34,54,0,9,92
"371830512002","371830512002","371830512002, 37183051200, Wake County, North Carolina","00","37","183","051200","2",,,,1253,48,55,2,29,110,1316,51,62,2,31,101
"371830512003","371830512003","371830512003, 37183051200, Wake County, North Carolina","00","37","183","051200","3",,,,1369,74,91,4,14,150,1431,78,100,4,16,138
"371830514001","371830514001","371830514001, 37183051400, Wake County, North Carolina","00","37","183","051400","1",,,,804,6,26,0,7,30,843,6,29,0,7,28
"371830514002","371830514002","371830514002, 37183051400, Wake County, North Carolina","00","37","183","051400","2",,,,911,16,13,2,14,56,956,18,15,2,16,51
"371830514003","371830514003","371830514003, 37183051400, Wake County, North Carolina","00","37","183","051400","3",,,,875,26,21,5,3,50,923,27,22,5,3,46
"371830514004","371830514004","371830514004, 37183051400, Wake County, North Carolina","00","37","183","051400","4",,,,1449,88,111,4,27,77,1482,93,120,4,29,69
"371830514005","371830514005","371830514005, 37183051400, Wake County, North Carolina","00","37","183","051400","5",,,,965,219,17,7,22,82,1015,236,18,7,24,75
"371830515011","371830515011","371830515011, 37183051501, Wake County, North Carolina","00","37","183","051501","1",,,,1344,59,29,2,22,65,1409,63,31,2,24,60
"371830515012","371830515012","371830515012, 37183051501, Wake County, North Carolina","00","37","183","051501","2",,,,1889,15,43,0,9,80,1983,17,47,0,10,73
"371830515021","371830515021","371830515021, 37183051502, Wake County, North Carolina","00","37","183","051502","1",,,,867,24,40,0,4,36,910,25,43,0,4,34
"371830515022","371830515022","371830515022, 37183051502, Wake County, North Carolina","00","37","183","051502","2",,,,1624,37,28,0,18,113,1703,40,31,0,19,105
"371830516001","371830516001","371830516001, 37183051600, Wake County, North Carolina","00","37","183","051600","1",,,,1111,5,7,0,6,31,1168,5,7,0,6,29
"371830516002","371830516002","371830516002, 37183051600, Wake County, North Carolina","00","37","183","051600","2",,,,921,26,2,1,13,30,965,28,2,1,14,28
"371830516003","371830516003","371830516003, 37183051600, Wake County, North Carolina","00","37","183","051600","3",,,,803,9,16,4,9,113,848,10,17,4,11,106
"371830516004","371830516004","371830516004, 37183051600, Wake County, North Carolina","00","37","183","051600","4",,,,1008,9,7,5,7,48,1063,9,7,5,7,44
"371830516005","371830516005","371830516005, 37183051600, Wake County, North Carolina","00","37","183","051600","5",,,,785,3,5,6,0,28,824,3,5,6,0,27
"371830517001","371830517001","371830517001, 37183051700, Wake County, North Carolina","00","37","183","051700","1",,,,1105,10,4,0,3,47,1159,10,4,0,3,43
"371830517002","371830517002","371830517002, 37183051700, Wake County, North Carolina","00","37","183","051700","2",,,,1305,9,22,0,3,45,1372,9,24,0,3,41
"371830517003","371830517003","371830517003, 37183051700, Wake County, North Carolina","00","37","183","051700","3",,,,1371,47,45,2,13,53,1436,50,49,2,15,49
"371830518001","371830518001","371830518001, 37183051800, Wake County, North Carolina","00","37","183","051800","1",,,,1501,38,12,0,10,100,1580,41,14,0,12,93
"371830518002","371830518002","371830518002, 37183051800, Wake County, North Carolina","00","37","183","051800","2",,,,1577,35,23,0,9,116,1657,38,26,0,10,108
"371830518003","371830518003","371830518003, 37183051800, Wake County, North Carolina","00","37","183","051800","3",,,,1543,136,31,7,35,84,1615,146,33,7,38,77
"371830519001","371830519001","371830519001, 37183051900, Wake County, North Carolina","00","37","183","051900","1",,,,765,535,19,12,93,156,802,573,20,14,102,144
"371830519002","371830519002","371830519002, 37183051900, Wake County, North Carolina","00","37","183","051900","2",,,,659,1225,19,6,173,97,682,1298,20,6,189,89
"371830519003","371830519003","371830519003, 37183051900, Wake County, North Carolina","00","37","183","051900","3",,,,462,487,12,14,166,91,479,515,13,16,182,83
"371830520011","371830520011","371830520011, 37183052001, Wake County, North Carolina","00","37","183","052001","1",,,,327,1223,40,42,492,263,338,1292,43,45,534,238
"371830520012","371830520012","371830520012, 37183052001, Wake County, North Carolina","00","37","183","052001","2",,,,184,783,9,28,321,105,189,824,10,31,348,95
"371830520021","371830520021","371830520021, 37183052002, Wake County, North Carolina","00","37","183","052002","1",,,,220,1631,4,39,587,149,226,1709,4,42,633,134
"371830520022","371830520022","371830520022, 37183052002, Wake County, North Carolina","00","37","183","052002","2",,,,331,1689,34,21,314,97,340,1773,36,22,340,88
"371830521011","371830521011","371830521011, 37183052101, Wake County, North Carolina","00","37","183","052101","1",,,,870,2815,103,20,671,301,898,2974,112,21,729,273
"371830521012","371830521012","371830521012, 37183052101, Wake County, North Carolina","00","37","183","052101","2",,,,108,905,20,4,195,64,111,948,21,4,211,58
"371830521013","371830521013","371830521013, 37183052101, Wake County, North Carolina","00","37","183","052101","3",,,,86,636,2,19,833,74,87,660,2,20,890,66
"371830521014","371830521014","371830521014, 37183052101, Wake County, North Carolina","00","37","183","052101","4",,,,110,921,10,14,177,77,113,970,11,15,193,70
"371830521021","371830521021","371830521021, 37183052102, Wake County, North Carolina","00","37","183","052102","1",,,,121,954,21,5,400,93,123,1000,22,5,431,84
"371830521022","371830521022","371830521022, 37183052102, Wake County, North Carolina","00","37","183","052102","2",,,,170,1654,43,15,197,145,175,1744,46,16,213,131
"371830521023","371830521023","371830521023, 37183052102, Wake County, North Carolina","00","37","183","052102","3",,,,174,1659,33,20,353,100,179,1743,36,21,381,91
"371830523031","371830523031","371830523031, 37183052303, Wake County, North Carolina","00","37","183","052303","1",,,,853,169,136,6,20,103,891,181,148,6,21,95
"371830523032","371830523032","371830523032, 37183052303, Wake County, North Carolina","00","37","183","052303","2",,,,1645,510,155,2,56,187,1714,544,169,2,62,171
"371830523041","371830523041","371830523041, 37183052304, Wake County, North Carolina","00","37","183","052304","1",,,,1128,580,86,10,70,145,1178,619,95,11,77,133
"371830523042","371830523042","371830523042, 37183052304, Wake County, North Carolina","00","37","183","052304","2",,,,559,180,42,1,25,48,584,193,46,1,27,44
"371830523051","371830523051","371830523051, 37183052305, Wake County, North Carolina","00","37","183","052305","1",,,,471,127,150,1,22,44,490,135,162,1,23,39
"371830523052","371830523052","371830523052, 37183052305, Wake County, North Carolina","00","37","183","052305","2",,,,1422,284,372,13,31,155,1450,296,399,14,33,139
"371830523061","371830523061","371830523061, 37183052306, Wake County, North Carolina","00","37","183","052306","1",,,,904,215,161,4,27,73,942,228,177,4,30,67
"371830523071","371830523071","371830523071, 37183052307, Wake County, North Carolina","00","37","183","052307","1",,,,441,237,72,0,32,100,462,253,80,0,35,93
"371830523072","371830523072","371830523072, 37183052307, Wake County, North Carolina","00","37","183","052307","2",,,,781,382,174,6,38,108,810,405,189,6,42,99
"371830523073","371830523073","371830523073, 37183052307, Wake County, North Carolina","00","37","183","052307","3",,,,627,91,51,7,34,79,658,98,57,7,37,72
"371830523074","371830523074","371830523074, 37183052307, Wake County, North Carolina","00","37","183","052307","4",,,,418,101,155,0,35,58,433,108,170,0,38,53
"371830523075","371830523075","371830523075, 37183052307, Wake County, North Carolina","00","37","183","052307","5",,,,373,117,52,0,13,51,388,124,58,0,14,47
"371830524011","371830524011","371830524011, 37183052401, Wake County, North Carolina","00","37","183","052401","1",,,,4065,855,337,16,121,403,4261,916,371,17,133,370
"371830524012","371830524012","371830524012, 37183052401, Wake County, North Carolina","00","37","183","052401","2",,,,651,30,27,6,21,22,653,30,28,6,22,20
"371830524041","371830524041","371830524041, 37183052404, Wake County, North Carolina","00","37","183","052404","1",,,,1393,297,77,8,117,140,1457,318,85,9,129,128
"371830524042","371830524042","371830524042, 37183052404, Wake County, North Carolina","00","37","183","052404","2",,,,555,57,541,2,54,75,570,60,587,2,59,68
"371830524043","371830524043","371830524043, 37183052404, Wake County, North Carolina","00","37","183","052404","3",,,,562,29,58,1,43,48,586,31,65,1,47,44
"371830524071","371830524071","371830524071, 37183052407, Wake County, North Carolina","00","37","183","052407","1",,,,1207,382,121,18,258,198,1259,408,134,20,283,182
"371830524072","371830524072","371830524072, 37183052407, Wake County, North Carolina","00","37","183","052407","2",,,,772,266,40,16,53,63,803,284,44,17,58,58
"371830524073","371830524073","371830524073, 37183052407, Wake County, North Carolina","00","37","183","052407","3",,,,654,269,70,0,70,91,684,287,77,0,77,84
"371830524081","371830524081","371830524081, 37183052408, Wake County, North Carolina","00","37","183","052408","1",,,,522,421,97,6,72,108,544,448,106,6,79,99
"371830524082","371830524082","371830524082, 37183052408, Wake County, North Carolina","00","37","183","052408","2",,,,943,378,132,8,187,174,984,403,144,9,206,160
"371830524091","371830524091","371830524091, 37183052409, Wake County, North Carolina","00","37","183","052409","1",,,,175,129,591,4,36,59,178,134,632,4,38,52
"371830524092","371830524092","371830524092, 37183052409, Wake County, North Carolina","00","37","183","052409","2",,,,1367,175,389,9,39,145,1388,182,417,10,42,130
"371830524093","371830524093","371830524093, 37183052409, Wake County, North Carolina","00","37","183","052409","3",,,,587,209,477,8,346,226,607,221,519,9,376,205
"371830524101","371830524101","371830524101, 37183052410, Wake County, North Carolina","00","37","183","052410","1",,,,965,409,80,3,142,168,1011,438,89,3,155,155
"371830524111","371830524111","371830524111, 37183052411, Wake County, North Carolina","00","37","183","052411","1",,,,1137,939,122,13,357,241,1183,999,133,14,391,219
"371830524112","371830524112","371830524112, 37183052411, Wake County, North Carolina","00","37","183","052411","2",,,,1869,863,264,18,359,316,1949,920,290,19,394,289
