Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008,SE_T003_000,SE_T003_001,SE_T004_000,SE_T004_001,SE_T013_001,SE_T013_002,SE_T014_001,SE_T014_002
"37183050100","Census Tract 501","Census Tract 501, Wake County, North Carolina","00","37","183",,"050100",,,,,,,,5199,3735,789,7,227,3,82,356,2823,1529,1159,19,29,0,37,50,2376,2206,-370,-12,198,3,45,306,84.1657810839532,144.277305428385,-31.9240724762726,-63.1578947368421,682.758620689655,,121.621621621622,612,9.76996261670138E-15,17.6784998504781,-25.8796192106755,-0.538401585034644,3.33894832632532,0.0577034045008656,0.266563973820683,5.07630524058518,5199,6279.02083004974,2823,3409.43946975003,2376,2869.58136029971,84.1657810839532,84.1657810839533
"37183050300","Census Tract 503","Census Tract 503, Wake County, North Carolina","00","37","183",,"050300",,,,,,,,3498,2726,393,12,108,0,60,199,2488,2045,327,9,52,0,17,38,1010,681,66,3,56,0,43,161,40.5948553054662,33.3007334963325,20.1834862385321,33.3333333333333,107.692307692308,,252.941176470588,423.684210526316,7.99360577730113E-15,-4.26428790728371,-1.90809539304959,-0.0186831611632922,0.997446404835836,0,1.03198612344399,4.16163393321678,3498,8710.37860693982,2488,6195.37506405554,1010,2515.00354288428,40.5948553054662,40.5948553054662
"37183050400","Census Tract 504","Census Tract 504, Wake County, North Carolina","00","37","183",,"050400",,,,,,,,1655,1178,293,0,27,0,20,137,1737,1203,449,6,16,1,26,36,-82,-25,-156,-6,11,-1,-6,101,-4.72078295912493,-2.07813798836243,-34.7438752783964,-100,68.75,-100,-23.0769230769231,280.555555555556,-2.66453525910038E-15,1.92090749234277,-8.14523773495644,-0.345423143350604,0.710291557308761,-0.0575705238917674,-0.288374406684442,6.20540675923172,1655,2321.91674873272,1737,2436.96035803549,-82,-115.04360930277,-4.72078295912493,-4.72078295912495
"37183050500","Census Tract 505","Census Tract 505, Wake County, North Carolina","00","37","183",,"050500",,,,,,,,3880,2636,814,5,42,3,155,225,3533,2114,1201,12,46,1,101,58,347,522,-387,-7,-4,2,54,167,9.8216812906878,24.6925260170293,-32.2231473771857,-58.3333333333333,-8.69565217391304,200,53.4653465346535,287.931034482759,0,8.10231076069227,-13.0143915541536,-0.210788705022746,-0.219535396745268,0.0490150305951836,1.13608510042282,4.15730476421137,3880,2980.33066366137,3533,2713.7907821432,347,266.53988151817,9.8216812906878,9.82168129068783
"37183050600","Census Tract 506","Census Tract 506, Wake County, North Carolina","00","37","183",,"050600",,,,,,,,3460,1507,1628,9,47,0,105,164,3817,787,2863,18,11,1,47,90,-357,720,-1235,-9,36,-1,58,74,-9.35289494367304,91.4866581956798,-43.1365700314356,-50,327.272727272727,-100,123.404255319149,82.2222222222222,-8.88178419700125E-16,22.9366266822748,-27.9545265249318,-0.211458928038695,1.07019706484983,-0.0261985852763951,1.80334857293429,2.38201171818803,3460,5482.3011407086,3817,6047.96053586264,-357,-565.659395154041,-9.35289494367304,-9.35289494367309
"37183050700","Census Tract 507","Census Tract 507, Wake County, North Carolina","00","37","183",,"050700",,,,,,,,3073,958,1790,10,46,2,103,164,3139,294,2669,14,11,0,92,59,-66,664,-879,-4,35,2,11,105,-2.10258043963046,225.850340136054,-32.9336830273511,-28.5714285714286,318.181818181818,,11.9565217391304,177.966101694915,9.76996261670138E-15,21.8087076632774,-26.7778108710141,-0.12058700743416,1.14647848514023,0.0650829808005207,0.420903807499512,3.45722494173062,3073,4136.4020177284,3139,4225.24111085241,-66,-88.8390931240101,-2.10258043963046,-2.10258043963052
"37183050800","Census Tract 508","Census Tract 508, Wake County, North Carolina","00","37","183",,"050800",,,,,,,,4086,1589,1963,62,20,1,285,166,4340,1098,2617,41,8,1,488,87,-254,491,-654,21,12,0,-203,79,-5.85253456221198,44.7176684881603,-24.9904470768055,51.219512195122,150,0,-41.5983606557377,90.8045977011494,0,13.589349718382,-12.2574442121124,0.572675946414756,0.305144463166347,0.00143233836569065,-4.26920292061688,2.0580446664005,4086,4773.56198865282,4340,5070.30323806981,-254,-296.74124941699,-5.85253456221198,-5.85253456221201
"37183050900","Census Tract 509","Census Tract 509, Wake County, North Carolina","00","37","183",,"050900",,,,,,,,2672,778,1499,21,48,1,172,153,3555,213,3027,14,2,4,187,108,-883,565,-1528,7,46,-3,-15,45,-24.8382559774965,265.258215962441,-50.4790221341262,50,2300,-75,-8.02139037433155,41.6666666666667,9.32587340685131E-15,23.1252052856313,-29.0473799236969,0.392116610660535,1.74014839519274,-0.0750924311714125,1.17692884273647,2.68807322064731,2672,3656.03382774644,3555,4864.22165330786,-883,-1208.18782556142,-24.8382559774965,-24.8382559774965
"37183051000","Census Tract 510","Census Tract 510, Wake County, North Carolina","00","37","183",,"051000",,,,,,,,2798,2095,299,20,66,0,103,215,1798,1407,251,10,26,0,62,42,1000,688,48,10,40,0,41,173,55.6173526140156,48.8983653162758,19.1235059760956,100,153.846153846154,,66.1290322580645,411.904761904762,1.06581410364015E-14,-3.37870447745529,-3.27375107438095,0.158622756919172,0.912776566131378,0,0.232924995686574,5.34813123309912,2798,7446.5704629505,1798,4785.1800187223,1000,2661.3904442282,55.6173526140156,55.6173526140156
"37183051101","Census Tract 511.01","Census Tract 511.01, Wake County, North Carolina","00","37","183",,"051101",,,,,,,,4099,2392,736,27,425,3,148,368,4696,3096,945,14,337,5,154,145,-597,-704,-209,13,88,-2,-6,223,-12.7129471890971,-22.7390180878553,-22.1164021164021,92.8571428571429,26.1127596439169,-40,-3.8961038961039,153.793103448276,1.15463194561016E-14,-7.57275323311913,-2.16791044310886,0.360571178494111,3.19206225975256,-0.0332850119674346,0.331250028573055,5.89006522137572,4099,6490.59080465673,4696,7435.91471545938,-597,-945.32391080265,-12.7129471890971,-12.7129471890971
"37183051102","Census Tract 511.02","Census Tract 511.02, Wake County, North Carolina","00","37","183",,"051102",,,,,,,,3940,2555,648,39,321,2,101,274,4255,3029,857,11,217,1,39,101,-315,-474,-209,28,104,1,62,173,-7.40305522914219,-15.64872895345,-24.3873978996499,254.545454545455,47.926267281106,100,158.974358974359,171.287128712871,-2.66453525910038E-15,-6.33912327688536,-3.69431006817897,0.731328326781869,3.04732563064057,0.0272596586875995,1.64688303399405,4.58063669496024,3940,5868.77675068884,4255,6337.98098329468,-315,-469.20423260584,-7.40305522914219,-7.40305522914228
"37183051200","Census Tract 512","Census Tract 512, Wake County, North Carolina","00","37","183",,"051200",,,,,,,,4466,3721,150,6,193,0,49,347,3476,3132,168,6,87,0,25,58,990,589,-18,0,106,0,24,289,28.4810126582279,18.8058748403576,-10.7142857142857,0,121.83908045977,,96,498.275862068965,-7.99360577730113E-15,-6.78516158655836,-1.47443128674032,-0.0382637877181744,1.8186636584716,0,0.37796119201619,6.10123181052906,4466,6176.06491472654,3476,4806.98648535366,990,1369.07842937288,28.4810126582279,28.4810126582279
